# Generated by refresh-data.py on 2026-07-06. Do not edit by hand
# (hand corrections belong in institutional-overrides.json).
# domain,type where type is government|education|healthcare|utility.
# Sources: Wikidata P856 (CC0), Annuaire de l'administration (Licence
# Ouverte v2), GSA/govt-urls (US public domain).
aabenraa.dk,government
aacd.org.br,healthcare
aach.de,government
aachen-melaten.de,healthcare
aachen.de,utility
aacounty.org,government
aadhos.com,healthcare
aaenhunze.nl,government
aajpn.fr,government
aajt.fr,government
aal.army,government
aal.kommune.no,government
aalborg.dk,government
aalborguh.rn.dk,healthcare
aalburg.nl,government
aalen.de,government
aalsmeer.nl,government
aalst.be,government
aalten.nl,government
aalter.be,government
aam.org.br,government
aambrosios.cs.ucy.ac.cy,government
aamchowkmun.gov.np,government
aamci.ac.in,healthcare
aanekoski.fi,government
aapcc.org,government
aarbergen.de,government
aarhus.dk,government
aarreha.ch,healthcare
aarschot.be,government
aartselaar.be,government
aast.fr,government
aathbiskotmun.gov.np,government
aathraimun.gov.np,government
aathraitribenimun.gov.np,government
aatwp.org,government
aavas.fr,government
aavi25.org,government
aaviv.fr,government
aba.hu,government
abades.es,government
abadia.es,government
abadiadegoias.go.gov.br,government
abadiadosdourados.mg.gov.br,government
abadiania.go.gov.br,government
abadin.es,government
abadszalok.hu,government
abaete.mg.gov.br,government
abaetetuba.pa.gov.br,government
abaigar.es,government
abaira.ba.gov.br,government
abajas.es,government
abala.gob.mx,government
abaliget.hu,government
abalos.org,government
abaltzisketa.net,government
abancourt.fr,government
abancourt59.fr,government
abanilla.es,government
abanto-zierbena.org,government
abanto.sedelectronica.es,government
abaran.es,government
abarbanel.health.gov.il,healthcare
abarcadecampos.dip-palencia.es,government
abare.ba.gov.br,government
abasan.ps,government
abasar.hu,government
abatia.pr.gov.br,government
abaujalpar.hu,government
abaujker.hu,government
abaujlak.hu,government
abaujszanto.hu,government
abaujvar.hu,government
abbaretz.fr,government
abbecourt.fr,government
abbeville-saint-lucien.fr,government
abbeville.fr,government
abbevillecitysc.com,government
abbevillecountysc.com,government
abbevillegeorgia.org,government
abbevillelariviere.fr,government
abbevillelesconflans.mairie54.fr,government
abbevillers.fr,government
abbotsford.ca,government
abbvet.com,healthcare
abbyrsia.co.id,healthcare
abc-blanquefort.fr,government
abcd94.fr,government
abchospital.com,healthcare
abcoude.nl,government
abda.hu,government
abdonbatista.sc.gov.br,government
abegondo.es,government
abejar.techpanga.com,government
abejorral-antioquia.gov.co,government
abelardoluz.sc.gov.br,government
abelcourt.fr,government
